"","subject","Rep50Same","Rep50Different","Rep1000Same","Rep1000Different","Sw50Same","Sw50Different","Sw1000Same","Sw1000Different","avAccuracy","condition"
"211",28,95.2380952380952,89.7435897435898,92.8571428571429,92.156862745098,98.2456140350877,94.6428571428571,90.9090909090909,93.6170212765958,93.4262842434447,"Memory"
"221",3,92.7272727272727,97.8260869565217,94.8717948717949,88.6363636363636,84.7826086956522,88,89.5833333333333,96,91.5534325276173,"Memory"
"231",4,88.2352941176471,91.6666666666667,86.9565217391304,73.9130434782609,85.1851851851852,74.4186046511628,82.9787234042553,88.3720930232558,83.9657665331955,"Memory"
"241",5,82.5,85.9649122807018,89.4736842105263,90.6976744186046,89.5833333333333,85.7142857142857,82.5,88.8888888888889,86.9153473557926,"Memory"
"251",6,100,98.1818181818182,92.3076923076923,94.4444444444444,100,95,91.6666666666667,88.0952380952381,94.9619824619825,"Memory"
"271",8,93.4782608695652,97.5609756097561,97.0588235294118,94,89.0909090909091,94.3396226415094,96.2962962962963,95.5555555555556,94.6725554491254,"Memory"
"281",9,100,97.4358974358974,92.3076923076923,89.7959183673469,91.8367346938776,92,95.2380952380952,89.7435897435898,93.5447409733124,"Memory"
"291",29,92.3076923076923,95.2380952380952,90.2439024390244,92.3076923076923,96.2264150943396,90.1639344262295,92.3076923076923,84.3137254901961,91.6386437013702,"Memory"
"311",31,98,100,87.5,90,79.3103448275862,82,89.1304347826087,91.6666666666667,89.7009307846077,"Memory"
"321",32,97.9166666666667,100,97.6744186046512,94.2307692307692,95.8333333333333,96.3636363636364,100,91.4893617021277,96.688523237648,"Memory"
"331",33,97.9591836734694,92.4528301886792,97.4358974358974,94,100,95,100,97.6744186046512,96.8152912378372,"Memory"
"341",34,93.1034482758621,91.0714285714286,88.2352941176471,92.5925925925926,94.9152542372881,92,90.6976744186046,86.7924528301887,91.1760181304515,"Memory"
"351",35,97.9166666666667,97.6744186046512,88.6363636363636,80.9523809523809,86.5384615384615,92,91.4893617021277,84.6153846153846,89.9778797145045,"Memory"
