Subject,Condition,Accuracy,RT
104,hungover,1,556
104,hungover,1,558
104,hungover,1,473
104,hungover,1,526
104,hungover,1,479
104,hungover,1,457
104,hungover,1,480
104,hungover,1,464
104,hungover,1,425
104,hungover,0,523
104,hungover,1,501
104,hungover,1,496
104,hungover,1,508
104,hungover,1,444
104,hungover,1,439
104,hungover,1,489
104,hungover,1,438
104,hungover,1,489
104,hungover,1,484
104,hungover,1,471
104,hungover,1,422
104,hungover,1,564
104,hungover,1,418
104,hungover,1,469
104,hungover,1,444
104,hungover,0,742
104,hungover,1,491
104,hungover,1,530
104,hungover,1,495
104,hungover,1,574
104,hungover,1,539
104,hungover,1,601
104,hungover,1,487
104,hungover,1,572
104,hungover,1,637
104,hungover,1,550
104,hungover,1,521
104,hungover,1,528
104,hungover,1,771
104,hungover,1,498
104,hungover,1,470
104,hungover,1,431
104,hungover,1,499
104,hungover,1,471
104,hungover,1,559
104,hungover,1,473
104,hungover,1,589
104,hungover,1,730
104,hungover,1,508
104,hungover,1,568
104,hungover,1,501
104,hungover,1,614
104,hungover,1,470
104,hungover,1,532
104,hungover,1,549
104,hungover,1,516
104,hungover,1,598
104,hungover,1,1027
104,hungover,1,680
104,hungover,1,529
104,hungover,1,477
104,hungover,1,550
104,hungover,0,692
104,hungover,1,548
104,hungover,1,470
104,hungover,1,517
104,hungover,1,499
104,hungover,1,527
104,hungover,1,565
104,hungover,1,548
104,hungover,1,425
104,hungover,1,628
104,hungover,1,550
104,hungover,1,504
104,hungover,1,540
104,hungover,1,488
104,hungover,1,947
104,hungover,1,540
104,hungover,1,631
104,hungover,1,528
104,hungover,1,507
104,hungover,1,543
104,hungover,1,578
104,hungover,1,509
104,hungover,1,875
104,hungover,1,475
104,hungover,1,606
104,hungover,1,503
104,hungover,1,447
104,hungover,1,690
104,hungover,1,458
104,hungover,1,478
104,hungover,1,574
104,hungover,1,457
104,hungover,0,610
104,hungover,1,583
104,hungover,1,693
104,hungover,1,687
104,hungover,1,590
104,hungover,1,488
104,hungover,1,499
104,hungover,1,455
104,hungover,1,478
104,hungover,1,720
104,hungover,1,415
104,hungover,1,418
104,hungover,1,466
104,hungover,1,402
104,hungover,1,475
104,hungover,1,633
104,hungover,1,474
104,hungover,0,579
104,hungover,1,640
104,hungover,1,532
104,hungover,1,555
104,hungover,1,556
104,hungover,1,567
104,hungover,1,515
104,hungover,1,600
104,hungover,1,563
104,hungover,1,500
104,hungover,1,607
104,hungover,1,563
104,hungover,1,558
104,hungover,1,649
104,hungover,1,608
104,hungover,1,587
104,hungover,1,486
104,hungover,1,896
104,hungover,1,644
104,hungover,1,511
104,hungover,1,587
104,hungover,1,884
104,hungover,1,544
104,hungover,1,609
104,hungover,1,504
104,hungover,1,574
104,hungover,1,718
104,hungover,1,515
104,hungover,1,504
104,hungover,1,462
104,hungover,1,656
104,hungover,1,456
104,hungover,1,801
104,hungover,1,475
104,hungover,1,436
104,hungover,0,385
104,hungover,1,537
104,hungover,1,475
104,hungover,1,456
104,hungover,1,360
104,hungover,1,524
104,hungover,1,540
104,hungover,1,932
104,hungover,1,438
104,hungover,1,584
104,hungover,1,782
104,hungover,1,542
104,hungover,1,582
104,hungover,1,772
104,hungover,1,793
104,hungover,1,498
104,hungover,1,535
104,hungover,1,572
104,hungover,1,478
104,hungover,1,436
104,hungover,1,447
104,hungover,1,372
104,hungover,1,422
104,hungover,1,557
104,hungover,1,396
104,hungover,1,502
104,hungover,1,405
104,hungover,1,423
104,hungover,1,421
104,hungover,1,472
104,hungover,1,628
104,hungover,1,423
104,hungover,1,426
104,hungover,1,560
104,hungover,1,530
104,hungover,1,438
104,hungover,1,441
104,hungover,1,461
104,hungover,1,408
104,hungover,1,504
104,hungover,1,552
104,hungover,1,460
104,hungover,1,449
104,hungover,1,614
104,hungover,1,562
104,hungover,1,440
104,hungover,1,578
104,hungover,1,573
104,hungover,1,543
104,hungover,1,497
104,hungover,1,443
104,hungover,1,513
104,hungover,1,456
105,hungover,1,1359
105,hungover,1,543
105,hungover,1,371
105,hungover,1,494
105,hungover,1,401
105,hungover,1,551
105,hungover,1,469
105,hungover,1,602
105,hungover,1,736
105,hungover,1,574
105,hungover,1,553
105,hungover,1,534
105,hungover,1,693
105,hungover,1,445
105,hungover,1,517
105,hungover,1,726
105,hungover,1,428
105,hungover,1,513
105,hungover,1,818
105,hungover,1,477
105,hungover,1,450
105,hungover,1,1019
105,hungover,1,514
105,hungover,1,732
105,hungover,1,574
105,hungover,1,548
105,hungover,1,489
105,hungover,1,462
105,hungover,1,552
105,hungover,1,436
105,hungover,1,512
105,hungover,1,450
105,hungover,1,672
105,hungover,1,1089
105,hungover,1,500
105,hungover,1,464
105,hungover,1,546
105,hungover,1,513
105,hungover,1,1045
105,hungover,1,501
105,hungover,1,387
105,hungover,1,565
105,hungover,1,508
105,hungover,1,474
105,hungover,1,638
105,hungover,1,619
105,hungover,1,500
105,hungover,1,550
105,hungover,1,435
105,hungover,1,490
105,hungover,1,547
105,hungover,1,600
105,hungover,1,609
105,hungover,1,444
105,hungover,1,440
105,hungover,1,325
105,hungover,1,436
105,hungover,0,466
105,hungover,1,510
105,hungover,0,676
